Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Community WG,142500.0,143574.43,USDC,1
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Community WG,650.0,11678.86,ENS,1
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 02:29:49,DAO Wallet,Community WG,1.0,3282.78,ETH,1
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17 00:00:00,Community WG,Communications,-1350.0,-1349.79,USDC,1
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17 00:00:00,Community WG,Communications,-6.0,-82.39,ENS,1
0xe267cb053d3199ef9cc6c9d3b9191d625ab32be919294f8168d5852d0d44d5fd,2022-04-20 00:00:00,Community WG,Steward Compensation,-2500.0,-2497.0,USDC,1
0x1f18192e52681fb3327aa20df7f3f296a06038fa5066897cbd296708d645f39d,2022-04-20 00:00:00,Community WG,Steward Compensation,-2500.0,-2497.0,USDC,1
0x2f97186137c4312194332e555eb69250f97308a0bf2283e97013713c30d7379e,2022-04-20 00:00:00,Community WG,Steward Compensation,-1100.0,-1098.68,USDC,1
0x16b022d6ca3b6542fd6ea18d8bb0cee1970a0039d5ec92a00e971bfe4569c640,2022-04-20 00:00:00,Community WG,Discretionary,-150.0,-149.82,USDC,1
0xf47ce69ab00a1e93449edd3f52f4cfa20be8a5f4345252643b79a3d2b4f6b38c,2022-04-20 00:00:00,Community WG,Steward Compensation,-200.0,-199.76,USDC,1
0xb25b7b3e103a6b47cfca2bd5dbfe4ed9a23d0155aedd74f2966f563020266dae,2022-04-20 00:00:00,Community WG,IRL Outreach,-200.0,-199.76,USDC,1
0x917ab2025e128046b5667e4eb4ac523de1a74fc3ccc94de50f31e2ccf9b8ca78,2022-04-20 00:00:00,Community WG,Onboarding,-360.0,-359.57,USDC,1
0x91fc6264119014e3a1333310818cf0e145fd73b119cb12c7dda76bfb692b5cc7,2022-04-20 00:00:00,Community WG,Hispanohablantes,-2000.0,-1997.6,USDC,1
0x03213596384ac90e7a8744b4163ae8a4f2e86df8283ebedb33ca942b6e352309,2022-04-20 00:00:00,Community WG,Discretionary,-1200.0,-1198.56,USDC,1
0x44e792d2af514676c2b84ec6287c818b58aa9471b9516119ed7df5992fd2fb34,2022-04-20 00:00:00,Community WG,Docs,-1500.0,-1498.2,USDC,1
0x2dad9b5b069672ce5b1debd2bb26e540bd8e0781967a35cb35b60134a33a507a,2022-04-21 00:00:00,Community WG,Steward Compensation,-5000.0,-4993.56,USDC,1
0x29869ccc64280a7d29fe5f8980bc2234e71aab3553dbd5590a4942db3ffe6896,2022-04-21 00:00:00,Community WG,Steward Compensation,-110.306907,-110.16,USDC,1
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30 00:00:00,Community WG,Steward Compensation,-1000.0,-995.08,USDC,1
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30 00:00:00,Community WG,Steward Compensation,-1000.0,-995.08,USDC,1
0x9b822de6eabf9fe5884abd6aa8bff884a572fec21fddb91790f0461b37e5a66d,2022-04-30 00:00:00,Community WG,Steward Compensation,-2000.0,-1990.16,USDC,1
