Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Ecosystem,127500.0,128461.33,USDC,1
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Ecosystem,6500.0,116788.62,ENS,1
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 02:29:49,DAO Wallet,Ecosystem,6.0,19696.68,ETH,1
0xc6fc145016ca50d3c7fbded8037d3ecd16620a56183a15a51a775f051edd3aa5,2022-04-01 00:00:00,DAO Wallet,Ecosystem,250000.0,251898.04,USDC,1
0x30f15fbdd9eaa2989625790b4349a786582125001d48d7ccf183678ff8ba6abd,2022-04-18 00:00:00,Ecosystem,Bug Bounty,-45000.0,-44962.67,USDC,1
0x922d0ac2fa1d1788209445b71f849512cd1eccb42dce8d5c6d4567601e922ea6,2022-04-26 00:00:00,Ecosystem,Bug Bounty,-15000.0,-14969.01,USDC,1
0xe0081485f9ee1b75ea0c44279e1a63482a85ddfc8d26320f05ac3b31bbe518b2,2022-04-26 00:00:00,Ecosystem,Grants,-100.0,-1431.5,ENS,1
0x7021bcee453664bcae2a8a2d56c184674cd27d1c85da13a73d7012bb075b664d,2022-04-26 00:00:00,Ecosystem,Grants,-100.0,-1431.5,ENS,1
0x9fc2812533dcd1cbf81f3fdf00eb3ec5f391ad183823831b1cf25bd0566fb65a,2022-04-26 00:00:00,Ecosystem,Grants,-4000.0,-3991.73,USDC,1
0x78473dbf2ab8912330e86353359101d41c6a58eb9cdbc51047cf13bbf9758b23,2022-05-09 00:00:00,Ecosystem,Steward Compensation,-7000.0,-6994.42,USDC,1
0x78473dbf2ab8912330e86353359101d41c6a58eb9cdbc51047cf13bbf9758b23,2022-05-09 00:00:00,Ecosystem,Steward Compensation,-4000.0,-3996.81,USDC,1
0x78473dbf2ab8912330e86353359101d41c6a58eb9cdbc51047cf13bbf9758b23,2022-05-09 00:00:00,Ecosystem,Steward Compensation,-6500.0,-6494.82,USDC,1
0xa9f0f7adbf97b0643026cd4723ea1115d8c43dba68ce2682816b2f2db5225966,2022-05-10 00:00:00,Ecosystem,Grants,-10000.0,-9994.52,USDC,1
0x335170d78dd22feb2ec78e9435b792d277fff6117d3c944d87a13baa00c1f7e2,2022-05-12 00:00:00,Ecosystem,Translators,-700.0,-701.1,USDC,1
0x16d27d47d92011c88c61857a1d4c2806f9b05d034075e4ea2dd9466232262b9a,2022-05-30 00:00:00,Ecosystem,Grants,-11000.0,-11013.75,USDC,1
