Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Metagov,50000.0,50376.99,USDC,1
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Metagov,2700.0,48512.2,ENS,1
0x2128fd8837c496d69a6d8b7a79ae321d90426226774f979f59c011419fa2bfe0,2022-06-08 00:00:00,Metagov,DAO Tooling,-17000.0,-17012.05,USDC,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 00:00:00,DAO Wallet,Metagov,402000.0,402310.72,USDC,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 00:00:00,DAO Wallet,Metagov,15500.0,225073.86,ENS,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 21:42:30,DAO Wallet,Metagov,25.0,48400.5,ETH,1
0xc9594e850aa5d2f4cc7168429925a5727bcf753ab2fd18be22f03332f4c83d87,2022-08-18 00:00:00,Metagov,DAO Tooling,-6000.0,-88235.46,ENS,1
0xc9594e850aa5d2f4cc7168429925a5727bcf753ab2fd18be22f03332f4c83d87,2022-08-18 00:00:00,Metagov,DAO Tooling,-150000.0,-150041.83,USDC,1
0xc9594e850aa5d2f4cc7168429925a5727bcf753ab2fd18be22f03332f4c83d87,2022-08-18 05:18:22,Metagov,DAO Tooling,-10.0,-18463.6,ETH,1
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,0x534631bcf33bdb069fb20a93d2fdb9e4d4dd42cf,-7000.0,-6995.61,USDC,0
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.06,USDC,1
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,Steward Compensation,-9665.0,-9658.94,USDC,1
0x47d973727a5e8d9e7cacb2a11e26514d0ff74360618b3f40ed15b855a6b11e99,2022-08-19 00:00:00,Metagov,Steward Compensation,-250.0,-3201.91,ENS,1
0x47d973727a5e8d9e7cacb2a11e26514d0ff74360618b3f40ed15b855a6b11e99,2022-08-19 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.06,USDC,1
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.06,USDC,1
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.06,USDC,1
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19 00:00:00,Metagov,Steward Compensation,-5000.0,-4996.86,USDC,1
0x6469c58c7e94a781c0457f6e39b83569527da0d63c38898299545f387a21417a,2022-08-20 00:00:00,0x534631bcf33bdb069fb20a93d2fdb9e4d4dd42cf,Metagov,7000.0,7003.02,USDC,0
0x4490494dc494d6b48240fd278a24af7f317e7d999d2542613b1ae3c172fa28de,2022-08-23 00:00:00,Metagov,Steward Compensation,-7000.0,-6998.66,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-7000.0,-7000.01,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-9665.0,-9665.01,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-5000.0,-5000.01,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x6fc0884c6ca5fb6dadfd7a316e42ff16c5e1c92e59a87370002f02cf071e8722,2022-09-07 00:00:00,Metagov,Governance,-48500.0,-48492.38,USDC,1
0x6fc0884c6ca5fb6dadfd7a316e42ff16c5e1c92e59a87370002f02cf071e8722,2022-09-07 00:00:00,Metagov,Governance,-7250.0,-107249.0,ENS,1
