Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31 00:00:00,DAO Wallet,Public Goods,100000.0,100753.99,USDC,1
0x734d6f836c5fc60de499bb2933b24e7e8494cbf26eb598a41ac596e2877de58a,2022-05-26 00:00:00,Public Goods,Steward Compensation,-5000.0,-5010.6,USDC,1
0x24b7223f38c76b0725893dddaf6d358ddd611ba57c77043cedaaaf9141418b00,2022-05-26 00:00:00,Public Goods,Grants,-5000.0,-5010.6,USDC,1
0x0de874cc084bf1fadd61f32831993f8577dd2afc1a6c036e099e9ec390ac6c60,2022-06-21 00:00:00,Public Goods,Gitcoin Multisig,-42000.0,-41986.11,USDC,1
0x15b5fc085454f9498f74233c865322bca13bbdafbac354fa875aa2c9c3003290,2022-08-03 00:00:00,Public Goods,Grants,-5000.0,-5011.48,USDC,1
0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b,2022-08-03 00:00:00,Public Goods,CoW,-8251.406332,-8270.36,USDC,1
0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b,2022-08-03 00:00:00,CoW,Public Goods,5.0,8134.02,ETH,1
0xcdcbb466adc24cef64ef842a3cae60776c6d30cffbe6c3ccb6ddc10aad82b28f,2022-08-03 00:00:00,Public Goods,PG Small Grants,-1.0,-1626.8,ETH,1
0x240f8d16cb9ed50b4f9042cd5c897a7280d0f080af09ef707f1d7220587299ff,2022-08-03 00:00:00,Public Goods,PG Small Grants,-1.0,-1626.8,ETH,1
0xdb09bc17245e6825fbf234d12185b02d4519d8189ea6e06bafe52773f2f84de7,2022-08-03 00:00:00,Public Goods,PG Small Grants,-1.0,-1626.8,ETH,1
0xf9e75660aba84f1bf0b9c9a8cc5a090afe632db42e2ffbf46ed0e988870f6080,2022-08-03 00:00:00,Public Goods,PG Small Grants,-1.0,-1626.8,ETH,1
0x60e9261c77f5f9286372377216e9d9bc7194885a0cf6c4b6a12e18396184b622,2022-08-03 00:00:00,Public Goods,PG Small Grants,-1.0,-1626.8,ETH,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 00:00:00,DAO Wallet,Public Goods,333800.0,334058.0,USDC,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 00:00:00,DAO Wallet,Public Goods,200.0,2904.18,ENS,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14 21:42:30,DAO Wallet,Public Goods,90.0,174241.8,ETH,1
0x3a6e105f98cfc710235f9f16ede0b715653c14967beada8944e99ef25ffc79d1,2022-09-22 00:00:00,Public Goods,Gitcoin Multisig,-100000.0,-100185.25,USDC,1
0x4571c7d091b6f26285af737fb2eaa979bfe5a18c236266ef45c699e912f248a7,2022-10-27 23:26:11,Public Goods,PG Small Grants,-1.0,-1514.35,ETH,1
0x4571c7d091b6f26285af737fb2eaa979bfe5a18c236266ef45c699e912f248a7,2022-10-27 23:26:11,Public Goods,PG Small Grants,-1.0,-1514.35,ETH,1
0x4571c7d091b6f26285af737fb2eaa979bfe5a18c236266ef45c699e912f248a7,2022-10-27 23:26:11,Public Goods,PG Small Grants,-1.0,-1514.35,ETH,1
0x4571c7d091b6f26285af737fb2eaa979bfe5a18c236266ef45c699e912f248a7,2022-10-27 23:26:11,Public Goods,PG Small Grants,-1.0,-1514.35,ETH,1
0x4571c7d091b6f26285af737fb2eaa979bfe5a18c236266ef45c699e912f248a7,2022-10-27 23:26:11,Public Goods,PG Small Grants,-1.0,-1514.35,ETH,1
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08 21:57:59,Public Goods,PG Small Grants,-1.0,-1334.22,ETH,1
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08 21:57:59,Public Goods,PG Small Grants,-1.0,-1334.22,ETH,1
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08 21:57:59,Public Goods,PG Small Grants,-1.0,-1334.22,ETH,1
