Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0xe5d93ac042d15bd6c310122d8912dd9797c12c628a0c7ea12cfa95d187debd49,2020-02-10,0x911143d946ba5d467bfc476491fdb235fef4d667,ENS Multisig,ENS Multisig,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,2272.253830454384,506962.55211267766,ETH,1
0x2f9d74cc03f40a99b478f961506821eed0165e77dd716d20d33c9a4d802abc21,2021-05-11,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,Gitcoin Multisig,Gitcoin Multisig,-180.0,-752630.3999999999,ETH,1
0x61c4f57902bb7660088b2dbea618787c1e4a6a1b8c931ed77d7bff412bd05e81,2021-05-12,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,Old ETH Registrar Controller,Old ETH Registrar Controller,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,6677.003072316199,25447995.039488006,ETH,1
0x61c4f57902bb7660088b2dbea618787c1e4a6a1b8c931ed77d7bff412bd05e81,2021-05-12,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH Contract,WETH Contract,-4400.0,-16769676.0,ETH,1
0x733bc145e556de7341f5197abdb94a4dcc41a444090bd7744eaa0977801f24d1,2021-05-12,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-1.0,-3935.58,ETH,1
0xd4abbbe0f44472bd26f660b7e97c0c482d7a32ec57feab3d61d9a0d1c8f68d4c,2021-05-12,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-586401.77,ETH,1
0x733bc145e556de7341f5197abdb94a4dcc41a444090bd7744eaa0977801f24d1,2021-05-12,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,4142.780742,4110.95,USDC,1
0xd4abbbe0f44472bd26f660b7e97c0c482d7a32ec57feab3d61d9a0d1c8f68d4c,2021-05-12,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,618923.194691,614167.67,USDC,1
0xe765f48c627ebd6cf643535baaf8544a7fd211d93285e5a4e136fa1553407c6a,2021-05-13,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,549580.356502,552813.01,USDC,1
0xe765f48c627ebd6cf643535baaf8544a7fd211d93285e5a4e136fa1553407c6a,2021-05-13,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-553885.81,ETH,1
