Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022 Q2,DAO Wallet,Community WG,USDC,142500.0,143574.43
2022 Q2,DAO Wallet,Community WG,ENS,650.0,11678.86
2022 Q2,DAO Wallet,Community WG,ETH,1.0,3282.78
2022 Q2,Community WG,Support,USDC,-65868.263473,-66014.83
2022 Q2,Community WG,Steward Compensation,USDC,-27595.366907,-27572.21
2022 Q2,Community WG,Communications,USDC,-3429.566258,-3428.9
2022 Q2,Community WG,Discretionary,ENS,-150.0,-2766.69
2022 Q2,Community WG,Discretionary,ETH,-0.95,-2557.4759999999997
2022 Q2,Community WG,Onboarding,USDC,-2305.0,-2302.62
2022 Q2,Community WG,Docs,USDC,-2010.0,-2008.66
2022 Q2,Community WG,Hispanohablantes,USDC,-2000.0,-1997.6
2022 Q2,Community WG,Discretionary,USDC,-1350.0,-1348.3799999999999
2022 Q2,Community WG,IRL Outreach,USDC,-450.0,-451.47
2022 Q2,Community WG,Communications,ENS,-14.0,-185.28
2022 Q2 Unspent,Community WG,Community SG,USDC,37491.803362000006,37491.803362000006
2022 Q2 Unspent,Community WG,Community SG,ENS,486.0,4296.24
2022 Q2 Unspent,Community WG,Community SG,ETH,0.050000000000000044,55.06150000000005
