Quarter,From,To,Symbol,Value,DOT_USD
2022 Q2,DAO Wallet,Public Goods,USDC,100000.0,100753.99
2022 Q2,Public Goods,Gitcoin Multisig,USDC,-42000.0,-41986.11
2022 Q2,Public Goods,Grants,USDC,-5000.0,-5010.6
2022 Q2,Public Goods,Steward Compensation,USDC,-5000.0,-5010.6
2022 Q2 Unspent,Public Goods,Public Goods,USDC,48000.0,48000.0
2022 Q2 Unspent,Public Goods,Public Goods,ETH,0.0,0.0
2022 Q2 Unspent,Public Goods,Public Goods,ENS,0.0,0.0
2022 Q3,DAO Wallet,Public Goods,USDC,333800.0,334058.0
2022 Q3,DAO Wallet,Public Goods,ETH,90.0,174241.8
2022 Q3,CoW,Public Goods,ETH,5.0,8134.02
2022 Q3,DAO Wallet,Public Goods,ENS,200.0,2904.18
2022 Q3,Public Goods,Gitcoin Multisig,USDC,-100000.0,-100185.25
2022 Q3,Public Goods,CoW,USDC,-8251.406332,-8270.36
2022 Q3,Public Goods,PG Small Grants,ETH,-5.0,-8134.0
2022 Q3,Public Goods,Grants,USDC,-5000.0,-5011.48
2022 Q3 Unspent,Public Goods,Public Goods,ENS,200.0,3144.0
2022 Q3 Unspent,Public Goods,Public Goods,USDC,268548.593668,268548.593668
2022 Q3 Unspent,Public Goods,Public Goods,ETH,90.0,120285.0
2022 Q4,Metagov,Public Goods,ETH,5.0,6314.75
2022 Q4,Public Goods,Service Providers,USDC,-72000.0,-72000.0
2022 Q4,Public Goods,Gitcoin Multisig,USDC,-50000.0,-50000.0
2022 Q4,Public Goods,PG Small Grants,ETH,-20.0,-27207.2
2022 Q4 Unspent,Public Goods,Public Goods,USDC,146548.59366800002,146548.59366800002
2022 Q4 Unspent,Public Goods,Public Goods,ETH,75.0,89610.0
2022 Q4 Unspent,Public Goods,Public Goods,ENS,200.0,2136.0
2023 Q1,DAO Wallet,Public Goods,USDC,250000.0,250000.0
2023 Q1,DAO Wallet,Public Goods,ETH,50.0,77289.0
2023 Q1,Public Goods,Gitcoin Multisig,USDC,-50000.0,-50000.0
2023 Q1,Public Goods,PG Small Grants,ETH,-15.0,-24485.649999999998
2023 Q1,Public Goods,Hackatons ,USDC,-10000.0,-10000.0
2023 Q1 Unspent,Public Goods,Public Goods,USDC,336548.593668,336548.593668
2023 Q1 Unspent,Public Goods,Public Goods,ETH,110.0,197879.0
2023 Q1 Unspent,Public Goods,Public Goods,ENS,200.0,2662.0
2023 Q2,Public Goods,Growth Grants,USDC,-50000.0,-50000.0
2023 Q2,Public Goods,PG Small Grants,ETH,-15.0,-26381.65
2023 Q2,Public Goods,Hackatons ,USDC,-1614.38,-1614.38
2023 Q2 Unspent,Public Goods,Public Goods,ETH,95.0,176386.5
2023 Q2 Unspent,Public Goods,Public Goods,USDC,284934.213668,284934.213668
2023 Q2 Unspent,Public Goods,Public Goods,ENS,200.0,1722.0
2023 Q3,UniSwap,Public Goods,USDC,102408.492634,102408.492634
2023 Q3,Public Goods,Large Grants,USDC,-200000.0,-200000.0
2023 Q3,Public Goods,UniSwap,ETH,-55.0,-102163.6
2023 Q3,Public Goods,Discretionary Grants,ETH,-15.0,-30084.9
2023 Q3 Unspent,Public Goods,Public Goods,USDC,187342.706302,187342.706302
2023 Q3 Unspent,Public Goods,Public Goods,ETH,25.0,41725.0
2023 Q3 Unspent,Public Goods,Public Goods,ENS,200.0,1516.0
2023 Q4,DAO Wallet,Public Goods,USDC,218204.0,218204.0
2023 Q4,DAO Wallet,Public Goods,ETH,35.0,70791.7
2023 Q4,Public Goods,Large Grants,USDC,-150000.0,-150000.0
2023 Q4,Public Goods,PG Small Grants,ETH,-26.5,-55667.438
2023 Q4,Public Goods,Sponsorship,USDC,-23000.0,-23000.0
2023 Q4,Public Goods,Hackatons ,USDC,-7500.0,-7500.0
2023 Q4,Public Goods,Translators,USDC,-4995.0,-4995.0
2023 Q4 Unspent,Public Goods,Public Goods,USDC,220051.706302,220051.706302
2023 Q4 Unspent,Public Goods,Public Goods,ETH,33.5,76905.95
2023 Q4 Unspent,Public Goods,Public Goods,ENS,200.0,1968.0
2024 Q1,Public Goods,Large Grants,USDC,-57500.0,-57500.0
2024 Q1,Public Goods,Steward Compensation,USDC,-11000.0,-11000.0
2024 Q1,Public Goods,Hackatons ,USDC,-10000.0,-10000.0
2024 Q1,Public Goods,Translators,USDC,-1350.622387,-1350.622387
2024 Q1 Unspent,Public Goods,Public Goods,ENS,200.0,4338.0
2024 Q1 Unspent,Public Goods,Public Goods,ETH,33.5,117876.45
2024 Q1 Unspent,Public Goods,Public Goods,USDC,140201.08391500002,140201.08391500002
2024 Q2,DAO Wallet,Public Goods,ETH,21.5,0.0
2024 Q2,DAO Wallet,Public Goods,USDC,450300.0,0.0
2024 Q2 Unspent,Public Goods,Public Goods,ETH,55.0,168201.0
2024 Q2 Unspent,Public Goods,Public Goods,USDC,590501.0839150001,590501.0839150001
2024 Q2 Unspent,Public Goods,Public Goods,ENS,200.0,2692.0
