Quarter,From,To,Symbol,Value,DOT_USD
2024 Q1,Service Providers,Blockful,USDC,-74794.49250000001,-74794.49250000001
2024 Q1,Service Providers,EFP,USDC,-124657.4875,-124657.4875
2024 Q1,Service Providers,ETHLimo,USDC,-124657.4875,-124657.4875
2024 Q1,Service Providers,Namehash,USDC,-149588.98500000002,-149588.98500000002
2024 Q1,Service Providers,Namespace,USDC,-49862.995,-49862.995
2024 Q1,Service Providers,Resolverworks,USDC,-174520.48249999998,-174520.48249999998
2024 Q1,Service Providers,Unicorn,USDC,-49862.995,-49862.995
2024 Q1,Service Providers,Unruggable,USDC,-99725.99,-99725.99
2024 Q1,Service Providers,Wildcard,USDC,-49862.995,-49862.995
2024 Q2,Service Providers,Blockful,USDC,-54246.555,-54246.555
2024 Q2,Service Providers,EFP,USDC,-90410.925,-90410.925
2024 Q2,Service Providers,ETHLimo,USDC,-90410.925,-90410.925
2024 Q2,Service Providers,Namehash,USDC,-108493.11,-108493.11
2024 Q2,Service Providers,Namespace,USDC,-36164.37,-36164.37
2024 Q2,Service Providers,Resolverworks,USDC,-126575.295,-126575.295
2024 Q2,Service Providers,Unicorn,USDC,-36164.37,-36164.37
2024 Q2,Service Providers,Unruggable,USDC,-72328.74,-72328.74
2024 Q2,Service Providers,Wildcard,USDC,-36164.37,-36164.37
