"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x73622e4e1feebb27c19b74e0aff5d46ace74293f5383beb2735c636e6d37327f","9690911","1584473004","2020-03-17 19:23:24","0x5717d19616fab9079cf2bfce7d94126bca3ae536","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","8","N/A","0x3a4a0d5b8dfacd651ee28ed4ffebf91500345489","BerryXToken","BRX"
"0x733bc145e556de7341f5197abdb94a4dcc41a444090bd7744eaa0977801f24d1","12422372","1620860096","2021-05-12 22:54:56","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","1","$3,935.58","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x733bc145e556de7341f5197abdb94a4dcc41a444090bd7744eaa0977801f24d1","12422372","1620860096","2021-05-12 22:54:56","0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","4,142.780742","$4,110.95","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xd4abbbe0f44472bd26f660b7e97c0c482d7a32ec57feab3d61d9a0d1c8f68d4c","12422414","1620860619","2021-05-12 23:03:39","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$586,401.77","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xd4abbbe0f44472bd26f660b7e97c0c482d7a32ec57feab3d61d9a0d1c8f68d4c","12422414","1620860619","2021-05-12 23:03:39","0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","618,923.194691","$614,167.67","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xe765f48c627ebd6cf643535baaf8544a7fd211d93285e5a4e136fa1553407c6a","12428277","1620938298","2021-05-13 20:38:18","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$553,885.81","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xe765f48c627ebd6cf643535baaf8544a7fd211d93285e5a4e136fa1553407c6a","12428277","1620938298","2021-05-13 20:38:18","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","549,580.356502","$552,813.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xba2d416311f898f10d42682e4962bf79ede953c22233f2c5af26d67667f04434","12435134","1621029811","2021-05-14 22:03:31","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$607,714.79","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xba2d416311f898f10d42682e4962bf79ede953c22233f2c5af26d67667f04434","12435134","1621029811","2021-05-14 22:03:31","0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","598,446.712403","$598,494.60","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4f646f56a56f651fde96efdda8d8af6545e45e43858b393d560030aa97edbe90","12442713","1621130331","2021-05-16 01:58:51","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$538,084.22","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x4f646f56a56f651fde96efdda8d8af6545e45e43858b393d560030aa97edbe90","12442713","1621130331","2021-05-16 01:58:51","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","569,350.980259","$575,607.43","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x11d5f937018505a1cdd74edd7d29939d89e8976794868eadad37914e9190cf58","12449283","1621218959","2021-05-17 02:35:59","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$491,029.53","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x11d5f937018505a1cdd74edd7d29939d89e8976794868eadad37914e9190cf58","12449283","1621218959","2021-05-17 02:35:59","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","501,716.624277","$502,513.40","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x652d98d121a5f57da7d3f80eb157c4150594599e907d24f5b7b93ab3f48b99e1","12455410","1621301234","2021-05-18 01:27:14","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$503,275.47","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x652d98d121a5f57da7d3f80eb157c4150594599e907d24f5b7b93ab3f48b99e1","12455410","1621301234","2021-05-18 01:27:14","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","502,817.448006","$503,682.25","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xeb03a696f0ce8b56d15d77fffe217f4e442ae6bdc43460783196805a2f510528","12460986","1621375673","2021-05-18 22:07:53","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$503,275.47","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xeb03a696f0ce8b56d15d77fffe217f4e442ae6bdc43460783196805a2f510528","12460986","1621375673","2021-05-18 22:07:53","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","502,745.813879","$503,610.49","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xab3ba915fe283834a7f49423eaefc63e15a5c3cac3e9938b6d1bd7595bb25608","12467658","1621465284","2021-05-19 23:01:24","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$371,836.08","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xab3ba915fe283834a7f49423eaefc63e15a5c3cac3e9938b6d1bd7595bb25608","12467658","1621465284","2021-05-19 23:01:24","0x397ff1542f962076d0bfe58ea045ffa2d347aca0","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","396,378.897202","$395,065.51","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8448ea81a3609dcb74064fd93948047e528bbb6d81c0c6f46e2b097efa923043","12475051","1621564137","2021-05-21 02:28:57","0xcf60916b6cb4753f58533808fa610fcbd4098ec0","0x0ed5b771c5e2b87ff56946dcc40224265fd942ac","149","$359,132.83","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
